Bullet|Normal|1|..\Texture\Bullet\Normal\%d.png
Mouse|Cursor|1|..\Texture\Mouse\Cursor\%d.png
NMonster|NMonsterDead|5|..\Texture\NMonster\NMonsterDead\%d.png
NMonsterIdle|Down|1|..\Texture\NMonster\NMonsterIdle\Down\%d.png
NMonsterIdle|Down_Left|1|..\Texture\NMonster\NMonsterIdle\Down_Left\%d.png
NMonsterIdle|Down_Right|1|..\Texture\NMonster\NMonsterIdle\Down_Right\%d.png
NMonsterIdle|Left|1|..\Texture\NMonster\NMonsterIdle\Left\%d.png
NMonsterIdle|Right|1|..\Texture\NMonster\NMonsterIdle\Right\%d.png
NMonsterIdle|Up|1|..\Texture\NMonster\NMonsterIdle\Up\%d.png
NMonsterIdle|Up_Left|1|..\Texture\NMonster\NMonsterIdle\Up_Left\%d.png
NMonsterIdle|Up_Right|1|..\Texture\NMonster\NMonsterIdle\Up_Right\%d.png
NMonsterMove|Down|6|..\Texture\NMonster\NMonsterMove\Down\%d.png
NMonsterMove|Down_Left|6|..\Texture\NMonster\NMonsterMove\Down_Left\%d.png
NMonsterMove|Down_Right|6|..\Texture\NMonster\NMonsterMove\Down_Right\%d.png
NMonsterMove|Left|6|..\Texture\NMonster\NMonsterMove\Left\%d.png
NMonsterMove|Right|6|..\Texture\NMonster\NMonsterMove\Right\%d.png
NMonsterMove|Up|6|..\Texture\NMonster\NMonsterMove\Up\%d.png
NMonsterMove|Up_Left|6|..\Texture\NMonster\NMonsterMove\Up_Left\%d.png
NMonsterMove|Up_Right|6|..\Texture\NMonster\NMonsterMove\Up_Right\%d.png
Dodge|Down|9|..\Texture\Player\Dodge\Down\%d.png
Dodge|Down_Left|9|..\Texture\Player\Dodge\Down_Left\%d.png
Dodge|Down_Right|9|..\Texture\Player\Dodge\Down_Right\%d.png
Dodge|Left|9|..\Texture\Player\Dodge\Left\%d.png
Dodge|Right|9|..\Texture\Player\Dodge\Right\%d.png
Dodge|Up|10|..\Texture\Player\Dodge\Up\%d.png
Dodge|Up_Left|7|..\Texture\Player\Dodge\Up_Left\%d.png
Dodge|Up_Right|7|..\Texture\Player\Dodge\Up_Right\%d.png
Idle|Down|4|..\Texture\Player\Idle\Down\%d.png
Idle|Down_Left|4|..\Texture\Player\Idle\Down_Left\%d.png
Idle|Down_Right|4|..\Texture\Player\Idle\Down_Right\%d.png
Idle|Left|4|..\Texture\Player\Idle\Left\%d.png
Idle|Right|4|..\Texture\Player\Idle\Right\%d.png
Idle|Up|4|..\Texture\Player\Idle\Up\%d.png
Idle|Up_Left|4|..\Texture\Player\Idle\Up_Left\%d.png
Idle|Up_Right|4|..\Texture\Player\Idle\Up_Right\%d.png
Move|Down|6|..\Texture\Player\Move\Down\%d.png
Move|Down_Left|6|..\Texture\Player\Move\Down_Left\%d.png
Move|Down_Right|6|..\Texture\Player\Move\Down_Right\%d.png
Move|Left|6|..\Texture\Player\Move\Left\%d.png
Move|Right|6|..\Texture\Player\Move\Right\%d.png
Move|Up|6|..\Texture\Player\Move\Up\%d.png
Move|Up_Left|6|..\Texture\Player\Move\Up_Left\%d.png
Move|Up_Right|6|..\Texture\Player\Move\Up_Right\%d.png
Terrain|SubTile|64|..\Texture\Terrain\SubTile\SubTile%d.png
Terrain|Tile|79|..\Texture\Terrain\Tile\Tile%d.png
Revolver|Attack|3|..\Texture\Weapon\Revolver\Attack\%d.png
Revolver|Reload|3|..\Texture\Weapon\Revolver\Reload\%d.png
Revolver|Stance|1|..\Texture\Weapon\Revolver\Stance\%d.png
Shotgun|Attack|4|..\Texture\Weapon\Shotgun\Attack\%d.png
Shotgun|Stance|1|..\Texture\Weapon\Shotgun\Stance\%d.png
